user_id,name,TotalOrders,TotalAmountSpent,UniqueProductsPurchased,MostFrequentCategory
1299,Nicole Garcia,1,47.79999923706056,1,Shorts
1311,Stephanie Sherman,1,69.98999786376953,1,Swim
1317,Linda Alvarado,1,21.989999771118164,1,Shorts
1337,Paula Alvarado,1,174.69000005722046,4,Accessories
1342,Janice Dominguez,1,53.0,1,Sweaters
1343,Jackson Frazier,1,50.0,1,Sweaters
1348,Rebecca Ward,1,70.0,2,Intimates
1363,Jennifer Davis,2,91.98999977111816,2,Accessories
1366,Mary Reyes,1,121.98999977111816,3,Dresses
1374,Heidi Page,1,122.5,1,Outerwear & Coats
1384,Tanya Cantu,1,269.0,2,Outerwear & Coats
1394,Olivia Gallegos,1,124.0,1,Suits
1397,Courtney Villanueva,1,18.530000686645508,1,Fashion Hoodies & Sweatshirts
1431,Trevor Fleming,1,57.950000762939446,1,Fashion Hoodies & Sweatshirts
1466,Peter Herrera,1,36.94000053405762,2,Socks
1497,Rebekah Mitchell,1,43.9900016784668,1,Tops & Tees
1547,Brittany Lewis,1,34.97999954223633,1,Maternity
1567,Melissa Martin,1,64.94999694824219,1,Intimates
1574,Noah Hensley,1,167.14000129699707,3,Jeans
1601,Michael Ross,1,60.0,1,Swim
1613,Heidi Larson,1,43.200000762939446,1,Leggings
1614,Sarah Nguyen,1,72.0,2,Intimates
1619,Amber Williams,1,99.0,2,Intimates
1651,Joseph Barton,1,189.95000076293945,2,Sweaters
1662,John Grant,1,117.98999786376952,1,Pants
1675,Brian Mccullough,1,45.0,1,Suits & Sport Coats
1679,Aaron Stewart,1,65.98999786376953,1,Fashion Hoodies & Sweatshirts
1684,Amanda Norris,1,23.729999542236328,1,Fashion Hoodies & Sweatshirts
1727,Amanda Williams,1,15.390000343322754,1,Intimates
1729,Aaron Jarvis,1,269.63999366760254,4,Fashion Hoodies & Sweatshirts
1738,Casey Williamson,1,152.47999954223633,4,Jeans
1742,Janet Larsen,2,67.10000038146973,3,Shorts
1748,Eric Daniels,1,150.5,2,Jeans
1749,Ann Sanchez,1,30.27999973297119,2,Fashion Hoodies & Sweatshirts
1752,Michelle Mcgrath,1,44.34000015258789,1,Swim
1759,Barry Cook,1,18.600000381469727,1,Pants
1780,Trevor Berry,1,147.5,2,Active
1803,Angela Williams,1,126.75000190734863,4,Blazers & Jackets
1826,John Kennedy,1,160.5,2,Pants
1850,Russell Johnson,1,21.0,1,Active
1853,Joseph Jones,1,39.880001068115234,1,Sweaters
1877,Justin Lewis,1,265.989990234375,1,Suits & Sport Coats
1900,Jocelyn Henderson,1,139.99000549316406,1,Outerwear & Coats
1901,Christina Thompson,1,14.989999771118164,1,Sleep & Lounge
1910,Daniel Kelley,2,118.37999725341795,2,Suits & Sport Coats
1933,Kendra Park,1,11.529999732971191,1,Tops & Tees
1934,Abigail Lee,1,13.989999771118164,1,Shorts
1936,Ariana Ortiz,1,22.950000762939453,1,Active
1944,Deborah May,1,84.0,3,Dresses
1960,Michael Davis,1,59.9900016784668,1,Suits & Sport Coats
1985,Christine Jones,1,16.899999618530273,1,Skirts
1991,Steve Whitehead,1,300.07999992370605,4,Shorts
1993,Heather Johnson,1,25.0,1,Dresses
1996,Bryan Austin,1,967.9499969482422,2,Active
1998,Michael Tucker,1,49.5,1,Jeans
2004,Steve Parker,1,25.0,1,Sleep & Lounge
2011,Brianna Lamb,1,50.079999923706055,2,Shorts
2018,Tammy Rubio,2,87.65000057220459,3,Active
2022,Dylan Lawrence,1,308.94999980926514,2,Jeans
2024,Jeremiah Powers,1,45.0,1,Swim
2027,Elizabeth Lester,1,64.98999786376953,1,Intimates
2038,Diane Knapp,1,210.6500015258789,4,Accessories
2076,Jason Jackson,1,77.94999694824217,1,Jeans
2094,Barry Patel,1,99.98999786376952,1,Suits & Sport Coats
2098,Colton Paul,1,588.0,2,Jeans
2104,Edward Gallegos,1,17.989999771118164,1,Accessories
2108,Tracy West,1,27.989999771118164,1,Accessories
2137,Brandon Lee,1,63.560001373291016,1,Swim
2159,Robert Thompson,1,41.650001525878906,1,Swim
2163,John Simmons,2,204.29000282287598,6,Accessories
2164,Gene Wright,1,33.0,2,Underwear
2175,Cynthia Mcbride,1,25.0,1,Leggings
2176,Alice Liu,1,8.390000343322756,1,Dresses
2177,Peter Wilson,1,220.0,1,Accessories
2192,Matthew Spencer,1,20.0,1,Socks
2193,Nicholas Kennedy,1,134.9199981689453,1,Sweaters
2196,Jeffrey Knapp,1,52.59000015258789,1,Jeans
2203,Jeffrey Mitchell,1,119.41000366210938,1,Accessories
2237,Juan Adams,1,80.0,1,Pants
2239,Bruce Morton,1,64.94999694824219,1,Swim
2240,Alexa Williamson,1,9.899999618530272,1,Tops & Tees
2265,Brittney Vasquez,1,26.0,1,Intimates
2291,Lisa Lucas,1,25.0,1,Socks & Hosiery
2294,David Keller,1,280.0,1,Pants
2319,Jennifer Blevins,1,154.40999698638916,4,Intimates
2332,Matthew Dean,1,109.98999786376952,1,Outerwear & Coats
2340,Jacob Howard,1,25.0,1,Swim
2343,Barry Zuniga,1,175.44000053405762,4,Accessories
2344,Matthew White,1,43.150001525878906,1,Socks
2348,Juan Jones,1,34.9900016784668,1,Pants
2390,David Bennett,1,49.0,1,Swim
2396,Leslie Mccoy,1,120.0,2,Intimates
2403,Thomas Cherry,1,170.00999450683594,1,Fashion Hoodies & Sweatshirts
2406,William Rich,1,29.989999771118164,1,Suits & Sport Coats
2409,Scott Stone,1,44.400001525878906,1,Tops & Tees
2414,Elizabeth Brown,1,32.0,1,Shorts
2438,Kristin Pratt,1,85.83000183105469,1,Accessories
2446,Carrie Nelson,1,130.97999954223633,2,Pants & Capris
2456,Julie Torres,1,39.0,1,Jeans
2463,Victoria Graham,1,94.98999977111816,3,Shorts
2482,Kelly West,2,100.5999984741211,2,Jeans
2488,Justin Martin,1,18.950000762939453,1,Underwear
2505,Taylor Zimmerman,1,29.989999771118164,1,Tops & Tees
2506,Kyle Lewis,1,15.75,1,Underwear
2512,Renee Hensley,1,12.449999809265137,1,Skirts
2520,Carol Jones,1,54.020002365112305,2,Blazers & Jackets
2530,George Ferguson,1,15.050000190734863,1,Shorts
2539,Shannon Rosales,1,13.989999771118164,1,Socks
2546,Sharon Crawford,1,9.5,1,Socks & Hosiery
2548,Kelsey Rivas,1,75.0,1,Sleep & Lounge
2565,Susan Hill,1,18.989999771118164,1,Socks & Hosiery
2570,Victoria Kelly,1,12.5,1,Socks & Hosiery
2572,Alfred Horn,2,174.0500030517578,4,Active
2581,Sandra Faulkner,1,82.0,1,Swim
2592,Todd Adams,1,104.5,1,Suits & Sport Coats
2598,Cody Fleming,1,42.9900016784668,1,Tops & Tees
2609,Shari Massey,1,25.0,1,Skirts
2620,Riley James,1,81.0,2,Sweaters
2653,Wendy Edwards,1,108.95000076293945,2,Maternity
2661,Wayne Rose,1,65.0,1,Swim
2667,Kylie Harvey,1,16.450000762939453,1,Intimates
2675,Amy Smith,1,118.0,1,Skirts
2683,Samantha Ryan,1,235.94999980926514,4,Intimates
2708,Brandon Nolan,1,56.94000053405761,2,Suits & Sport Coats
2709,Randall Patel,1,17.0,1,Accessories
2722,Daniel Berger,1,35.0,1,Socks
2752,Erik Carter,1,22.0,1,Tops & Tees
2764,Roger Acosta,1,198.4000015258789,2,Jeans
2794,David Peters,1,32.540000915527344,1,Sweaters
2812,Phillip Wright,1,6.989999771118164,1,Underwear
2818,Joshua Snyder,1,180.0,1,Sweaters
2837,Leah Yang,1,103.5,1,Jeans
2846,Diane Brown,1,36.950000762939446,1,Intimates
2855,Jeffrey Rogers,1,127.97000503540039,2,Pants
2856,Jennifer Sullivan,1,45.0,1,Dresses
2858,Megan Ross,1,238.0,2,Jeans
2868,Johnny Rich,1,17.0,1,Socks
2869,Brandon Ford,1,32.779998779296875,1,Swim
2872,Rachel Miller,1,68.0,1,Shorts
2879,Melissa Mejia,1,11.489999771118164,1,Accessories
2912,Stephanie Thomas,1,94.98999786376952,1,Swim
2917,Melissa Richardson,1,119.9900016784668,2,Jeans
2960,Mia Lopez,1,12.0,1,Socks & Hosiery
3021,Leslie Jordan,1,79.0,1,Fashion Hoodies & Sweatshirts
3026,Kevin Martinez,1,39.9900016784668,1,Underwear
3073,Nicholas Campbell,1,78.75,1,Sweaters
3088,Holly Cameron,1,517.0,2,Dresses
3090,Kelly Mendoza,1,11.4399995803833,1,Active
3135,Jennifer Jackson,1,322.97999572753906,3,Fashion Hoodies & Sweatshirts
3150,Deborah Herring,1,98.0,1,Jeans
3165,Jacob Ruiz,1,200.0,1,Outerwear & Coats
3170,Joshua Hall,1,19.989999771118164,1,Underwear
3207,Benjamin Espinoza,1,54.5,1,Swim
3224,Alexander Henry,1,125.0,1,Outerwear & Coats
3237,Edwin Snyder,1,49.9900016784668,1,Outerwear & Coats
3243,Alexandra Keith,1,52.59000015258789,1,Shorts
3257,Casey Hodge,1,185.3100004196167,4,Fashion Hoodies & Sweatshirts
3288,William Smith,1,8.0,1,Socks
3290,Matthew Black,1,32.0,1,Underwear
3294,Robert West,1,18.0,1,Underwear
3297,Nicholas Moore,1,132.98999977111816,3,Underwear
3303,John Allen,1,103.19000244140624,1,Suits & Sport Coats
3304,Emily Johnson,1,33.8799991607666,2,Intimates
3325,Dean Armstrong,2,114.98000144958496,3,Accessories
3326,John Higgins,1,79.98999786376953,1,Outerwear & Coats
3342,Steven Fowler,1,28.950000762939453,1,Fashion Hoodies & Sweatshirts
3347,John Woodard,1,36.950000762939446,1,Underwear
3349,Linda Johnson,1,30.0,1,Shorts
3378,Katherine Johnson,1,22.579999923706048,1,Outerwear & Coats
3385,Mark Gomez,2,28.989999771118164,2,Active
3386,Michael Aguilar,1,109.94000244140625,2,Active
3409,Bradley Meadows,1,50.0,1,Active
3421,Sharon Murray,1,16.950000762939453,1,Plus
3447,Brianna James,1,54.0,1,Swim
3459,Barbara Smith,1,69.0,1,Swim
3480,Valerie Murphy,1,32.900001525878906,1,Plus
3489,Joel Perry,1,248.41000270843506,4,Accessories
3500,Zachary Jones,1,472.63999938964844,2,Sleep & Lounge
3512,Alexander Hanson,1,74.9900016784668,2,Jeans
3514,Daniel Smith,1,359.6299991607666,4,Fashion Hoodies & Sweatshirts
3525,William Smith,1,54.950000762939446,1,Shorts
3543,Jeffrey Wolfe,1,108.95000076293945,2,Shorts
3547,Jason Francis,2,157.97999954223633,3,Active
3550,Melissa Pruitt,1,58.950000762939446,1,Sleep & Lounge
3554,Sandra Floyd,1,6.0,1,Intimates
3580,Shelia Johns,1,8.52999973297119,1,Shorts
3587,Michael Morgan,1,44.5,1,Swim
3590,Sean Rodriguez,1,54.9900016784668,1,Pants
3600,Larry Buckley,1,96.0,2,Accessories
3602,Scott Hall,1,40.02000045776367,1,Accessories
3610,Rebecca Williams,1,24.989999771118164,1,Plus
3645,Timothy Jackson,1,22.540000915527344,1,Sweaters
3648,Tyler Flores,1,65.0,1,Jeans
3656,Leonard Bryan,1,70.95000076293945,2,Fashion Hoodies & Sweatshirts
3661,Michelle Farley,1,23.89999961853028,1,Sleep & Lounge
3670,Adam Haney,1,29.40999984741211,1,Sweaters
3675,Richard Brewer,1,82.94999694824217,1,Pants
3681,Edward Martin,1,64.5,1,Socks
3707,Jennifer Zimmerman,1,78.0,1,Sleep & Lounge
3714,Sean Adams,1,74.5,1,Swim
3718,Anthony Hicks,1,187.0,3,Pants
3752,Jennifer Williams,1,69.94999694824219,1,Skirts
3770,Peggy Johnson,1,112.0,2,Intimates
3784,Richard White,1,22.540000915527344,1,Sweaters
3792,Jonathan Sanchez,1,75.09000015258789,2,Shorts
3822,Lindsey Bennett,2,150.98999786376953,3,Intimates
3826,Maria Beck,1,29.989999771118164,1,Tops & Tees
3840,Clifford Hubbard,1,48.59000015258789,2,Accessories
3848,Audrey Watson,1,36.0,1,Sleep & Lounge
3875,Michael Scott,1,59.5,1,Jeans
3890,Brenda Cooper,1,178.04000234603882,4,Active
3916,Dominic Morris,1,95.0,1,Tops & Tees
3923,Cynthia Park,1,5.900000095367432,1,Leggings
3950,Jacqueline Fletcher,1,32.9900016784668,1,Dresses
3972,David Jimenez,1,38.0,1,Tops & Tees
3975,Tracy Hall,1,7.96999979019165,1,Intimates
3977,Cynthia Smith,1,60.0,1,Intimates
4007,Jason Stark,1,78.98999786376953,1,Active
4018,Joseph Rodriguez,1,16.479999542236328,1,Underwear
4020,Theresa Ortiz,1,58.00000190734863,2,Plus
4045,Krista Crawford,1,9.65999984741211,1,Intimates
4056,Victoria Navarro,1,14.989999771118164,1,Intimates
4066,Jeremiah Barker,1,61.9900016784668,2,Pants
4085,Tiffany Acevedo,1,4.989999771118164,1,Shorts
4086,Derrick Valenzuela,1,18.989999771118164,1,Accessories
4101,Thomas Davidson,1,27.0,1,Socks
4117,Julia Hendricks,1,39.9900016784668,1,Sleep & Lounge
4136,Cesar Smith,1,48.0,1,Fashion Hoodies & Sweatshirts
4155,Wesley Horton,1,276.9300003051758,4,Accessories
4164,Aaron Snow,1,55.0,1,Sweaters
4169,Tyrone Williams,1,25.5,1,Sleep & Lounge
4186,Diana Houston,1,138.0,1,Dresses
4206,Larry Ward,1,202.9900054931641,1,Suits & Sport Coats
4214,Michelle Kelly,1,49.96999931335449,2,Accessories
4218,Cesar Smith,1,16.0,1,Socks
4321,Stephanie Downs,1,11.659999847412108,1,Plus
4334,John West,1,37.950000762939446,1,Outerwear & Coats
4370,Robert Cox,1,34.310001373291016,1,Sweaters
4394,Cameron Bowman,1,558.200008392334,4,Pants
4404,Jennifer Hodges,1,98.0,1,Jeans
4409,Michael Wong,1,26.0,1,Underwear
4411,Amanda Mccarthy,1,32.099998474121094,1,Active
4416,Linda Lin,1,104.0,1,Fashion Hoodies & Sweatshirts
4418,Krystal Hawkins,1,43.95000076293945,2,Fashion Hoodies & Sweatshirts
4427,Theodore Kidd,1,167.0,3,Fashion Hoodies & Sweatshirts
4445,Sara Jensen,1,54.989999771118164,2,Skirts
4456,Vanessa Wright,1,160.99000549316406,1,Leggings
4462,Raymond Mitchell,1,11.949999809265137,1,Socks
4467,Annette Miller,1,71.0,2,Intimates
4494,Lisa Hendrix,1,165.9900016784668,3,Intimates
4510,Christine Hanna,1,200.0,1,Outerwear & Coats
4525,Rodney Brown,2,113.79999923706056,2,Jeans
4526,Andrew Barton,1,25.0,1,Sleep & Lounge
4564,Rachel Cooper,1,15.989999771118164,1,Plus
4572,Lynn Rosales,1,211.0,2,Dresses
4584,Sara Graham,1,46.97999954223633,1,Intimates
4589,Jonathan Coleman,1,81.47000122070312,4,Active
4595,Christopher Cohen,1,102.26000022888184,2,Fashion Hoodies & Sweatshirts
4616,Dana Roberts,1,153.0,2,Accessories
4638,Michelle Torres,1,38.950000762939446,1,Intimates
4655,Matthew Crawford,1,104.97000122070312,2,Pants
4656,Travis West,1,473.3500061035156,4,Socks
4677,Vanessa Bryant,1,44.0,1,Fashion Hoodies & Sweatshirts
4680,Crystal Hampton,1,32.0,1,Maternity
4684,Todd Ramirez,1,33.6299991607666,2,Accessories
4716,Joseph Brooks,1,102.97999954223633,2,Fashion Hoodies & Sweatshirts
4718,Larry Johnson,1,22.1200008392334,1,Suits & Sport Coats
4725,Sarah Rodriguez,1,174.3000030517578,4,Intimates
4740,Erica Richards,1,166.26000022888184,4,Active
4762,Alicia Hendricks,1,59.9900016784668,1,Pants & Capris
4783,Kyle Hernandez,1,15.640000343322754,1,Pants
4788,Frank Taylor,1,16.020000457763672,1,Active
4795,Amanda Foster,1,24.989999771118164,1,Active
4876,Lisa Garcia,1,16.5,1,Shorts
4889,Michelle Kelly,1,156.80000114440918,4,Active
4908,William Robinson,1,55.0,1,Sweaters
4931,Andre Fuentes,1,188.50000381469727,4,Fashion Hoodies & Sweatshirts
4962,Rachel Johnson,1,188.0900001525879,2,Jeans
4968,Wayne Jones,1,118.98999977111816,2,Jeans
4973,Hannah Martinez,1,102.91999816894533,1,Outerwear & Coats
4991,Frank Archer,1,69.0,1,Sweaters
4998,Miguel Harris,1,34.0,1,Pants
5008,Patrick Wilkinson,1,99.0,1,Outerwear & Coats
5033,Crystal Williams,1,6.5,1,Socks & Hosiery
5036,Christian Brown,1,170.0,1,Pants
5047,Crystal Hart,1,72.0,2,Intimates
5052,Xavier Gallegos,1,65.0,1,Swim
5081,Barbara Rosales,1,13.0,1,Intimates
5105,Kayla Henderson,1,119.7400016784668,2,Sweaters
5110,Theresa Mendoza,1,45.0,1,Dresses
5118,Bradley Robinson,1,29.989999771118164,1,Jeans
5122,Amy Bowers,1,189.0,1,Jeans
5128,Ryan Taylor,1,267.600004196167,4,Pants
5129,Catherine Jones,1,31.88999938964844,1,Intimates
5152,Mark White,1,19.950000762939453,1,Active
5177,Nathaniel Dickerson,1,106.68999862670898,2,Jeans
5179,Felicia Jackson,1,168.0,1,Jeans
5182,Dustin Watson,1,56.0,1,Fashion Hoodies & Sweatshirts
5184,Stephen Small,1,18.9399995803833,2,Sleep & Lounge
5194,Patrick Lloyd,1,59.950000762939446,1,Shorts
5198,Brian Wood,1,52.0,1,Swim
5210,Shawn Stewart,2,221.00000190734863,5,Jeans
5211,Lisa Moore,1,351.3000030517578,2,Sweaters
5220,Tracy Kent,1,328.42000579833984,4,Clothing Sets
5225,Connie Carpenter,1,65.0,1,Swim
5226,Michelle Conway,1,77.5,1,Shorts
5243,Chelsey Gill,1,63.94999980926514,2,Intimates
5244,Mark Carter,1,513.1599979400635,3,Outerwear & Coats
5272,Peter Hoover,1,44.880001068115234,1,Sleep & Lounge
5281,Dennis Carlson,1,28.0,1,Tops & Tees
5282,David Guerrero,1,14.989999771118164,1,Pants
5294,Christopher Harris,1,28.0,1,Active
5296,Tara Hogan,1,80.44000244140625,2,Intimates
5341,Edward Marshall,1,229.9900054931641,1,Outerwear & Coats
5377,David Smith,1,29.96999931335449,1,Tops & Tees
5388,Kayla Tran,1,27.950000762939453,1,Shorts
5400,Jessica Smith,1,14.5,1,Leggings
5423,Julie Castillo,1,287.0,2,Blazers & Jackets
5458,Andrew Montgomery,1,82.41999721527098,2,Accessories
5460,Jeremy Vega,1,25.0,1,Tops & Tees
5471,Timothy Mason,1,9.93999981880188,2,Accessories
5473,Tracy Eaton,1,12.970000267028809,1,Underwear
5474,Danny Garcia,1,68.66999816894531,1,Sweaters
5479,Melissa Clements,1,35.0,1,Active
5484,Christopher Mullen,1,59.25,1,Shorts
5506,Jonathan Brown,1,2.799999952316284,1,Accessories
5512,Amy Jordan,1,48.400001525878906,1,Leggings
5531,Anthony Harrington,1,51.9900016784668,1,Fashion Hoodies & Sweatshirts
5534,Heidi Schultz,1,26.989999771118164,1,Swim
5536,David Jones,1,21.989999771118164,1,Accessories
5544,Thomas Levine,1,89.0,1,Fashion Hoodies & Sweatshirts
5555,Patrick Jennings,1,54.0,1,Accessories
5556,Victoria Jones,1,130.0,1,Dresses
5560,John Williams,1,11.949999809265137,1,Socks
5565,Kaitlin Bryant,1,69.98999977111816,3,Fashion Hoodies & Sweatshirts
5568,Brittney Young,1,83.67000102996826,2,Dresses
5577,Lauren Nelson,1,69.08000183105469,1,Dresses
5584,Jodi Rhodes,1,10.979999542236328,1,Intimates
5631,Todd Flores,1,76.68999862670898,2,Fashion Hoodies & Sweatshirts
5684,Patricia Johnson,1,6.389999866485596,1,Plus
5691,Mark Sexton,1,179.9499969482422,1,Suits & Sport Coats
5709,Mary Rivers,1,29.690000534057617,1,Jeans
5715,Daniel Nicholson,1,55.0,1,Swim
5737,Zachary Wilson,1,16.790000915527344,1,Socks
5753,Ruth Pruitt,1,28.739999771118164,1,Tops & Tees
5760,Dana Horton,1,118.0,1,Sleep & Lounge
5775,Jennifer Gibson,1,104.98999786376952,1,Pants & Capris
5776,Michael Lyons,1,10.0,1,Underwear
5782,James Wood,1,161.97999572753906,2,Fashion Hoodies & Sweatshirts
5799,Kenneth Wilson,1,81.86000061035156,3,Sleep & Lounge
5802,Cynthia Fox,1,10.989999771118164,1,Leggings
5819,Tiffany Robinson,1,45.97999954223633,1,Sweaters
5835,Laura Butler,1,52.0,1,Pants & Capris
5846,Ryan Anderson,1,30.0,1,Jeans
5855,Barry Yoder,1,19.989999771118164,1,Active
5870,Noah Pruitt,1,61.94000244140625,2,Active
5892,April Price,1,25.0,1,Tops & Tees
5922,Samantha Holt,1,44.97999954223633,2,Sleep & Lounge
5946,Robert Lloyd,2,104.9900016784668,2,Swim
5947,Kerri Sanchez,1,85.9900016784668,2,Intimates
5960,Michael Aguilar,1,87.94999694824217,1,Shorts
5961,Jennifer Carter,1,11.119999885559082,1,Tops & Tees
5964,Tammy Leonard,1,148.0,1,Jeans
5967,Elizabeth Knight,1,25.0,1,Swim
5971,Michael Lee,1,31.979999542236328,1,Tops & Tees
5991,Mary Knox,1,20.780000686645508,1,Shorts
6000,Timothy Anderson,1,24.989999771118164,1,Accessories
6002,Diamond Munoz,1,48.0,1,Sweaters
6007,Jill Smith,1,72.0,1,Shorts
6020,Shelly French,2,82.9900016784668,2,Maternity
6021,Ryan Williams,2,154.9499969482422,3,Jeans
6031,Daniel Williams,1,44.950000762939446,1,Fashion Hoodies & Sweatshirts
6033,Michael Maddox,1,4.079999923706056,1,Accessories
6034,Jason Adams,1,9.359999656677246,1,Socks
6036,Carrie Lynch,1,127.93000221252441,3,Intimates
6044,Terri Powell,1,26.89999961853028,1,Maternity
6048,Karen Shea,1,186.3699951171875,1,Outerwear & Coats
6063,Shannon Olsen,1,103.09000015258789,3,Intimates
6081,Randy Johnson,1,39.950000762939446,1,Sleep & Lounge
6086,Michelle Russell,1,12.550000190734863,1,Dresses
6092,Jeremy Williams,1,27.989999771118164,1,Tops & Tees
6127,Norman Trevino,1,56.96999931335449,2,Swim
6135,Eric Neal,1,139.9499969482422,1,Outerwear & Coats
6154,Zachary Campbell,1,32.97999954223633,2,Socks
6182,Beverly Williams,1,63.540000915527344,2,Shorts
6189,Donna Greene,1,358.98999977111816,2,Blazers & Jackets
